name,letters,numerology_total,length,pronounce_score,linguistic_flags,meaning_story,domain_com,domain_in,handle_x,handle_instagram,handle_linkedin,mca_similarity_hit,tm_hit_class_35_36_41_42,distinctiveness_score,overall_score,scoring_notes
navina,N(5)+A(1)+V(6)+I(1)+N(5)+A(1),19,6,10,,Represents excellence in financial technology solutions,available,available,free,free,free,,exact,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
wiseas,W(6)+I(1)+S(3)+E(5)+A(1)+S(3),19,6,10,,Represents intelligent financial decision making,available,taken,free,free,free,,none,10,10,0.35*10 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
quickan,Q(1)+U(6)+I(1)+C(3)+K(2)+A(1)+N(5),19,7,10,,Signifies wisdom and prosperity for advisors,available,taken,free,free,free,,none,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
hubix,H(5)+U(6)+B(2)+I(1)+X(5),19,5,10,,Signifies wisdom and prosperity for advisors,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
viojas,V(6)+I(1)+O(7)+J(1)+A(1)+S(3),19,6,10,,Represents vital strength in market challenges,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
susamr,S(3)+U(6)+S(3)+A(1)+M(4)+R(2),19,6,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,,exact,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
absafal,A(1)+B(2)+S(3)+A(1)+F(8)+A(1)+L(3),19,7,10,,Represents success-oriented financial advisory platform,available,available,free,free,taken,,none,10,10,0.35*10 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
rayseva,R(2)+A(1)+Y(1)+S(3)+E(5)+V(6)+A(1),19,7,10,,Represents excellence in financial technology solutions,available,available,free,free,free,,exact,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
wiseray,W(6)+I(1)+S(3)+E(5)+R(2)+A(1)+Y(1),19,7,10,,Represents intelligent financial decision making,available,available,free,free,taken,,none,10,10,0.35*10 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
lakesh,L(3)+A(1)+K(2)+E(5)+S(3)+H(5),19,6,10,,Conveys reliability and success in wealth management,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
deisha,D(4)+E(5)+I(1)+S(3)+H(5)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
veeir,V(6)+E(5)+E(5)+I(1)+R(2),19,5,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,,exact,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
mitora,M(4)+I(1)+T(4)+O(7)+R(2)+A(1),19,6,10,,Signifies wisdom and prosperity for advisors,available,taken,free,free,free,,none,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
mitroa,M(4)+I(1)+T(4)+R(2)+O(7)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
smeart,S(3)+M(4)+E(5)+A(1)+R(2)+T(4),19,6,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
royael,R(2)+O(7)+Y(1)+A(1)+E(5)+L(3),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,free,free,free,true,close,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
vedla,V(6)+E(5)+D(4)+L(3)+A(1),19,5,10,,Represents ancient Vedic wisdom guiding modern financial decisions,taken,available,free,taken,free,,exact,10,10,0.35*10 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
newka,N(5)+E(5)+W(6)+K(2)+A(1),19,5,10,,Embodies trust and innovation in financial advisory,available,taken,free,free,free,,none,9,10,0.35*9 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
